brand,model,year,mileage,gearbox,price,age
FIAT,MOBI LIKE 1.0 4P,2022,60925,MANUAL,54.29,2
TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021,25918,AUTOMÁTICO,155.19,3
TOYOTA,COROLLA CROSS XR FLEX 2.0 4P,2021,24954,AUTOMÁTICO,124.19,3
RENAULT,LOGAN ZEN 1.0,2022,48120,MANUAL,64.39,2
VOLKSWAGEN,VOYAGE 1.0,2022,22111,MANUAL,62.99,2
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020,95633,MANUAL,47.99,4
RENAULT,KWID ZEN 1.0 4P,2022,18187,MANUAL,57.29,2
VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022,45430,AUTOMÁTICO,103.99,2
VOLKSWAGEN,GOL MPI 1.0 4P,2022,68410,MANUAL,57.49,2
VOLKSWAGEN,GOL MPI 1.0 4P,2022,47916,MANUAL,59.29,2
FIAT,ARGO FLEX 1.0 4P,2022,65625,AUTOMÁTICO,61.90,2
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,2022,30035,MANUAL,87.39,2
VOLKSWAGEN,GOL MPI MT 1.6 4P,2021,57374,MANUAL,60.89,3
FIAT,MOBI LIKE 1.0 4P,2022,13411,MANUAL,59.79,2
FIAT,MOBI LIKE 1.0 4P,2022,15611,MANUAL,60.29,2
VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,2021,87439,AUTOMÁTICO,80.09,3
FIAT,MOBI LIKE 1.0 4P,2022,55178,MANUAL,55.79,2
VOLKSWAGEN,VOYAGE 1.6,2021,72963,MANUAL,63.79,3
CHEVROLET,ONIX JOY PLUS BLACK 1.0,2021,69456,MANUAL,65.89,3
PEUGEOT,208 HATCH ALLURE 1.6,2022,50510,AUTOMÁTICO,78.09,2
FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021,38426,AUTOMÁTICO,104.49,3
FIAT,GRAND SIENA 1.4,2021,52378,MANUAL,59.69,3
HYUNDAI,HB20S COMFORT 1.0,2022,68407,MANUAL,75.49,2
FIAT,MOBI LIKE 1.0,2022,61547,MANUAL,54.29,2
HYUNDAI,HB20 COMFORT 1.0,2022,57161,MANUAL,67.99,2
FIAT,CRONOS DRIVE 1.0,2022,55326,MANUAL,73.79,2
HYUNDAI,HB20 COMFORT 1.0,2022,58039,MANUAL,67.99,2
HYUNDAI,HB20S PLATINUM 1.0,2022,60763,AUTOMÁTICO,83.89,2
CITROEN,C3 FEEL 1.0,2022,40344,MANUAL,74.09,2
FIAT,MOBI LIKE 1.0,2021,56354,MANUAL,53.29,3
HYUNDAI,HB20 COMFORT 1.0,2022,55614,MANUAL,67.99,2
FIAT,ARGO DRIVE 1.0,2022,49149,MANUAL,69.59,2
CHERY,TIGGO 8 TXS 7L 1.6,2022,9433,AUTOMÁTICO,179.59,2
FIAT,ARGO 1.0,2022,52350,MANUAL,61.99,2
FIAT,ARGO 1.0,2021,58712,MANUAL,63.49,3
FIAT,MOBI LIKE 1.0,2022,51621,MANUAL,54.89,2
CITROEN,C4 CACTUS FEEL AT 1.6 4P,2022,40120,AUTOMÁTICO,87.79,2
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2022,51330,MANUAL,60.90,2
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020,21868,MANUAL,53.79,4
FIAT,MOBI LIKE 1.0 4P,2022,62593,MANUAL,55.89,2
FIAT,ARGO 1.0,2021,81878,MANUAL,58.99,3
FIAT,ARGO DRIVE 1.0,2022,45869,MANUAL,69.89,2
FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,2021,49467,MANUAL,76.99,3
FIAT,ARGO 1.0,2022,51534,MANUAL,64.59,2
FIAT,ARGO DRIVE 1.0,2022,49740,MANUAL,69.59,2
VOLKSWAGEN,GOL MPI 1.0 4P,2020,51241,MANUAL,54.69,4
FIAT,ARGO 1.0,2022,55662,MANUAL,61.99,2
FIAT,MOBI LIKE 1.0,2022,60870,MANUAL,54.29,2
FIAT,CRONOS 1.3,2022,75807,MANUAL,70.19,2
FIAT,ARGO 1.0,2022,51904,MANUAL,61.99,2
CHEVROLET,ONIX LTZ 1.0,2023,15520,MANUAL,90.49,1
VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020,42395,AUTOMÁTICO,119.49,4
CITROEN,C3 FEEL 1.0,2022,39683,MANUAL,74.29,2
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2021,30063,AUTOMÁTICO,96.09,3
RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022,20352,AUTOMÁTICO,112.29,2
FIAT,CRONOS DRIVE 1.0,2022,58817,MANUAL,73.39,2
RENAULT,KWID ZEN 1.0,2021,43443,MANUAL,52.99,3
FIAT,CRONOS DRIVE 1.0,2022,57985,MANUAL,73.59,2
HYUNDAI,HB20 COMFORT 1.0,2022,52225,MANUAL,67.99,2
HYUNDAI,HB20 COMFORT 1.0,2022,69574,MANUAL,67.99,2
HYUNDAI,HB20 EVOLUTION 1.0 4P,2022,53144,MANUAL,68.99,2
FIAT,MOBI LIKE 1.0 4P,2021,33712,MANUAL,53.59,3
CITROEN,C4 CACTUS FEEL AT 1.6 4P,2022,40925,MANUAL,84.19,2
FIAT,CRONOS DRIVE 1.3 4P,2022,52682,MANUAL,76.99,2
FORD,KA SEDAN SE PLUS AT 1.5 4P,2020,41973,AUTOMÁTICO,66.99,4
FIAT,CRONOS DRIVE 1.3 4P,2022,52654,MANUAL,75.39,2
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2021,26383,AUTOMÁTICO,96.69,3
VOLKSWAGEN,GOL MPI 1.0 4P,2022,57741,MANUAL,58.59,2
FIAT,ARGO FLEX 1.0 4P,2022,31843,MANUAL,65.79,2
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2021,43339,MANUAL,58.59,3
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,2021,39669,MANUAL,80.99,3
VOLKSWAGEN,GOL 1.0,2022,49899,MANUAL,56.99,2
FIAT,ARGO 1.0,2022,51826,MANUAL,61.99,2
FIAT,MOBI LIKE 1.0 4P,2022,17259,MANUAL,59.09,2
VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,2021,77396,AUTOMÁTICO,66.39,3
VOLKSWAGEN,GOL MPI 1.0 4P,2020,70504,MANUAL,53.19,4
CITROEN,C3 FEEL 1.0,2022,35763,MANUAL,74.59,2
FIAT,ARGO DRIVE 1.0,2021,50384,MANUAL,64.79,3
HYUNDAI,HB20 COMFORT 1.0,2022,61832,MANUAL,67.99,2
FIAT,MOBI LIKE 1.0,2022,52343,MANUAL,54.79,2
FIAT,TORO FREEDOM 1.3,2022,45812,AUTOMÁTICO,134.29,2
FIAT,MOBI LIKE 1.0,2022,52410,MANUAL,54.79,2
HYUNDAI,HB20 COMFORT 1.0,2022,57543,MANUAL,67.99,2
HYUNDAI,HB20S COMFORT 1.0,2022,57367,MANUAL,76.79,2
VOLKSWAGEN,GOL MPI 1.0 4P,2020,81826,MANUAL,52.29,4
HYUNDAI,HB20 COMFORT 1.0,2022,55082,MANUAL,67.99,2
FIAT,ARGO FLEX 1.0 4P,2021,32622,MANUAL,65.19,3
FIAT,ARGO FLEX 1.0 4P,2022,59666,MANUAL,64.49,2
FIAT,MOBI LIKE 1.0 4P,2022,56781,MANUAL,54.39,2
CHEVROLET,ONIX PLUS TURBO LTZ AT 1.0 4P,2022,30004,AUTOMÁTICO,93.89,2
HYUNDAI,HB20 VISION 1.0,2022,74916,MANUAL,63.99,2
HYUNDAI,HB20 COMFORT 1.0,2022,53215,MANUAL,67.99,2
HYUNDAI,HB20 LIMITED 1.0,2022,63024,MANUAL,72.19,2
FIAT,ARGO DRIVE 1.0,2022,40207,MANUAL,70.19,2
CITROEN,C3 FEEL 1.0,2022,37428,MANUAL,74.39,2
VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,2019,77416,AUTOMÁTICO,74.69,5
FIAT,ARGO FLEX 1.0 4P,2022,77416,MANUAL,64.09,2
HYUNDAI,HB20 LIMITED 1.0,2022,56395,MANUAL,72.79,2
VOLKSWAGEN,VOYAGE 1.6,2021,18535,MANUAL,68.59,3
HYUNDAI,HB20 COMFORT 1.0,2022,46409,MANUAL,67.99,2
VOLKSWAGEN,VOYAGE 1.6,2021,64049,AUTOMÁTICO,67.69,3
FIAT,MOBI LIKE 1.0,2022,54533,MANUAL,54.69,2
HYUNDAI,HB20S PLATINUM TGDI AT 1.0 4P,2022,27540,AUTOMÁTICO,88.99,2
FIAT,MOBI LIKE 1.0,2022,58120,MANUAL,54.39,2
VOLKSWAGEN,GOL 1.0,2022,62495,MANUAL,56.99,2
FIAT,MOBI LIKE 1.0,2022,52048,MANUAL,54.79,2
FIAT,MOBI LIKE 1.0,2022,61309,MANUAL,54.29,2
FIAT,MOBI LIKE 1.0,2022,61073,MANUAL,54.29,2
CHEVROLET,SPIN PREMIER 7L 1.8,2022,42525,AUTOMÁTICO,103.79,2
FIAT,ARGO DRIVE 1.0,2020,38325,MANUAL,65.39,4
HYUNDAI,HB20 COMFORT 1.0,2022,60919,MANUAL,67.99,2
CITROEN,C3 LIVE PACK 1.0,2022,47066,MANUAL,69.99,2
FIAT,ARGO FLEX 1.0 4P,2021,37220,MANUAL,64.09,3
VOLKSWAGEN,GOL 1.0,2022,52297,MANUAL,56.99,2
FIAT,MOBI LIKE 1.0,2022,43000,MANUAL,55.39,2
HYUNDAI,HB20 COMFORT 1.0,2022,48228,MANUAL,67.99,2
FIAT,ARGO 1.0,2022,58546,MANUAL,61.99,2
HYUNDAI,HB20 COMFORT 1.0,2022,49434,MANUAL,67.99,2
CHEVROLET,ONIX PLUS LT 1.0,2022,46430,MANUAL,77.99,2
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022,23745,AUTOMÁTICO,124.39,2
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,2019,49959,AUTOMÁTICO,85.99,5
HYUNDAI,HB20 EVOLUTION 1.0 4P,2021,20478,MANUAL,70.59,3
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020,53547,MANUAL,50.99,4
FIAT,GRAND SIENA FLEX MT 1.4 4P,2021,23187,MANUAL,62.99,3
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2019,51131,AUTOMÁTICO,88.89,5
MITSUBISHI,ECLIPSE CROSS HPE 1.5,2022,47270,AUTOMÁTICO,146.99,2
HYUNDAI,HB20 COMFORT 1.0,2022,61748,MANUAL,67.99,2
FIAT,MOBI LIKE 1.0,2022,75411,MANUAL,52.99,2
HYUNDAI,HB20 COMFORT 1.0,2022,54248,MANUAL,67.99,2
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022,3896,AUTOMÁTICO,133.99,2
PEUGEOT,208 LIKE ESSENCIAL MT 1.6 4P,2021,47623,MANUAL,61.99,3
VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,2021,36725,AUTOMÁTICO,70.19,3
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,2019,83226,AUTOMÁTICO,84.09,5
RENAULT,DUSTER ZEN AT SCE 1.6 4P,2020,95258,AUTOMÁTICO,83.29,4
HYUNDAI,HB20 EVOLUTION 1.0,2022,51287,MANUAL,67.59,2
FIAT,ARGO FLEX 1.0 4P,2022,64453,MANUAL,62.89,2
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2021,58239,MANUAL,58.19,3
CHEVROLET,ONIX LT AT TURBO 1.0 4P,2020,46319,AUTOMÁTICO,79.49,4
HYUNDAI,HB20 COMFORT 1.0,2022,36550,MANUAL,84.79,2
FIAT,MOBI LIKE 1.0,2022,60230,MANUAL,54.29,2
VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,2019,49039,AUTOMÁTICO,122.90,5
FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,2020,37115,MANUAL,95.90,4
FIAT,CRONOS DRIVE 1.0,2022,40676,MANUAL,74.89,2
VOLKSWAGEN,GOL MPI 1.0 4P,2019,20283,MANUAL,55.39,5
CHERY,TIGGO 5X PRO 1.5,2022,16866,AUTOMÁTICO,146.09,2
CHEVROLET,ONIX PLUS LT 1.0,2022,27451,MANUAL,82.99,2
CHEVROLET,SPIN PREMIER 7L 1.8,2022,43857,AUTOMÁTICO,103.79,2
MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022,39461,AUTOMÁTICO,135.69,2
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019,50706,AUTOMÁTICO,78.89,5
VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022,47610,AUTOMÁTICO,112.99,2
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019,65677,AUTOMÁTICO,77.99,5
VOLVO,XC40 T4 MOMENTUM 2.0,2020,34307,AUTOMÁTICO,205.39,4
VOLKSWAGEN,GOL MPI 1.0 4P,2022,47931,MANUAL,59.39,2
JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020,35874,AUTOMÁTICO,122.19,4
VOLKSWAGEN,GOL MPI MT 1.6 4P,2020,88690,MANUAL,54.19,4
VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019,70813,AUTOMÁTICO,133.99,5
FIAT,CRONOS DRIVE 1.3,2022,42098,MANUAL,76.29,2
FIAT,ARGO DRIVE 1.0 4P,2022,18503,MANUAL,69.29,2
FIAT,CRONOS DRIVE 1.3,2022,43356,MANUAL,76.29,2
FIAT,CRONOS DRIVE 1.3 4P,2022,50926,MANUAL,75.49,2
VOLKSWAGEN,VOYAGE 1.6,2021,61897,MANUAL,64.99,3
TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021,39921,AUTOMÁTICO,125.99,3
FIAT,ARGO DRIVE 1.0 4P,2020,66288,MANUAL,55.90,4
FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,2022,25980,MANUAL,79.39,2
HYUNDAI,HB20S EVOLUTION 1.0,2022,71575,MANUAL,70.69,2
HYUNDAI,HB20 EVOLUTION 1.0 4P,2022,78809,MANUAL,65.59,2
HYUNDAI,HB20 VISION 1.0 4P,2022,41885,MANUAL,66.29,2
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2022,40579,MANUAL,61.79,2
FIAT,CRONOS DRIVE 1.3,2022,46629,MANUAL,74.39,2
FIAT,CRONOS DRIVE 1.3,2022,48539,MANUAL,69.69,2
VOLKSWAGEN,GOL MPI 1.0 4P,2021,73549,MANUAL,53.19,3
VOLKSWAGEN,VIRTUS COMFORTLINE 200 TSI AT 1.0 4P,2021,50200,AUTOMÁTICO,77.79,3
